Subject,Abund,Time,Treat,Individual,OTU_name
340.T1,0.034491647762425,1,Placebo,1,Lactobacillus
341.T1,0.020603713633204,1,Placebo,2,Lactobacillus
342.T1,0.047921198936427,1,Placebo,3,Lactobacillus
344.T1,0.006732517568431,1,Placebo,4,Lactobacillus
345.T1,0.00621381160853,1,Placebo,5,Lactobacillus
347.T1,0.314171447038862,1,Placebo,6,Lactobacillus
348.T1,0.307222222222222,1,Placebo,7,Lactobacillus
349.T1,0.312462067570301,1,Placebo,8,Lactobacillus
351.T1,0.010054520994123,1,Letrozole,9,Lactobacillus
352.T1,0.040755690099787,1,Letrozole,10,Lactobacillus
353.T1,0.040842448219688,1,Letrozole,11,Lactobacillus
355.T1,0.015138442230763,1,Letrozole,12,Lactobacillus
356.T1,0.026804893994583,1,Letrozole,13,Lactobacillus
359.T1,0.011738484398217,1,Letrozole,14,Lactobacillus
360.T1,0.038313755626304,1,Letrozole,15,Lactobacillus
361.T1,0.004477264798232,1,Letrozole,16,Lactobacillus
340.T2,0.111825857216702,2,Placebo,1,Lactobacillus
341.T2,0.026891671203049,2,Placebo,2,Lactobacillus
342.T2,0.008605495075168,2,Placebo,3,Lactobacillus
344.T2,0.00930340737295,2,Placebo,4,Lactobacillus
345.T2,0.150161576149276,2,Placebo,5,Lactobacillus
347.T2,0.233704669352927,2,Placebo,6,Lactobacillus
348.T2,0.053853551311994,2,Placebo,7,Lactobacillus
349.T2,0.005373303167421,2,Placebo,8,Lactobacillus
351.T2,0.031323911162388,2,Letrozole,9,Lactobacillus
352.T2,0.005748745984332,2,Letrozole,10,Lactobacillus
353.T2,0.008714155436214,2,Letrozole,11,Lactobacillus
355.T2,0.020742770742771,2,Letrozole,12,Lactobacillus
356.T2,0.02684151214015,2,Letrozole,13,Lactobacillus
359.T2,0.026272681451613,2,Letrozole,14,Lactobacillus
360.T2,0.066346744043301,2,Letrozole,15,Lactobacillus
361.T2,0.01929060360921,2,Letrozole,16,Lactobacillus
340.T3,0.038686293364894,3,Placebo,1,Lactobacillus
341.T3,0.011286899479066,3,Placebo,2,Lactobacillus
342.T3,0.004289390906491,3,Placebo,3,Lactobacillus
344.T3,0.006845735785953,3,Placebo,4,Lactobacillus
345.T3,0.006362317222904,3,Placebo,5,Lactobacillus
347.T3,0.019387855526031,3,Placebo,6,Lactobacillus
348.T3,0.373594784661979,3,Placebo,7,Lactobacillus
349.T3,0.021976341015705,3,Placebo,8,Lactobacillus
351.T3,0.03526924788607,3,Letrozole,9,Lactobacillus
352.T3,0.015084202913524,3,Letrozole,10,Lactobacillus
353.T3,0.020526928367369,3,Letrozole,11,Lactobacillus
355.T3,0.112633689839572,3,Letrozole,12,Lactobacillus
356.T3,0.033575568025021,3,Letrozole,13,Lactobacillus
359.T3,0.005615618767713,3,Letrozole,14,Lactobacillus
360.T3,0.050558360104023,3,Letrozole,15,Lactobacillus
361.T3,0.006461200491051,3,Letrozole,16,Lactobacillus
340.T4,0.021628948609147,4,Placebo,1,Lactobacillus
341.T4,0.013467374810319,4,Placebo,2,Lactobacillus
342.T4,0.009291648447748,4,Placebo,3,Lactobacillus
344.T4,0.00575698865209,4,Placebo,4,Lactobacillus
345.T4,0.004417146943755,4,Placebo,5,Lactobacillus
347.T4,0.039627754768114,4,Placebo,6,Lactobacillus
348.T4,0.012741859367626,4,Placebo,7,Lactobacillus
349.T4,0.004119414558496,4,Placebo,8,Lactobacillus
351.T4,0.007849462365591,4,Letrozole,9,Lactobacillus
352.T4,0.023177867408964,4,Letrozole,10,Lactobacillus
353.T4,0.015408018057805,4,Letrozole,11,Lactobacillus
355.T4,0.274302978903848,4,Letrozole,12,Lactobacillus
356.T4,0.0099326248524,4,Letrozole,13,Lactobacillus
359.T4,0.002654509781291,4,Letrozole,14,Lactobacillus
360.T4,0.012766226379321,4,Letrozole,15,Lactobacillus
361.T4,0.013671404480848,4,Letrozole,16,Lactobacillus
340.T5,0.00510425716768,5,Placebo,1,Lactobacillus
