Subject,Abund,Treat,Time,Individual,OTU_name
C01P1A,0.006123452375631,P,1,1,Akkermansia
C02P1A,0.252290654131145,P,1,2,Akkermansia
C03P1B,0.017700283997094,P,1,3,Akkermansia
C04P1B,0.01071613332348,P,1,4,Akkermansia
C05P1C,0.011291256514187,P,1,5,Akkermansia
C06P1C,0.046034168677072,P,1,6,Akkermansia
C07P1D,0.016510373293747,P,1,7,Akkermansia
C08P1D,0.025334984799009,P,1,8,Akkermansia
C09P1E,0.229184188393608,P,1,9,Akkermansia
C10P1E,0.050705815923207,P,1,10,Akkermansia
D01L1F,0.009166865600382,L,1,11,Akkermansia
D02L1F,0.002294694388429,L,1,12,Akkermansia
D03L1G,0.003160331167097,L,1,13,Akkermansia
D04L1G,0.008622773793215,L,1,14,Akkermansia
D05L1H,0.167471160926123,L,1,15,Akkermansia
D06L1H,0.130789825970549,L,1,16,Akkermansia
D07L1I,0.005739514348786,L,1,17,Akkermansia
D08L1I,0.005126849894292,L,1,18,Akkermansia
D09L1J,0.010373181530677,L,1,19,Akkermansia
D10L1J,0.00569932224276,L,1,20,Akkermansia
E01P2A,0.004397469526308,P,2,1,Akkermansia
E02P2A,0.028758575249021,P,2,2,Akkermansia
E03P2B,0.267848064492701,P,2,3,Akkermansia
E04P2B,0.017671063178605,P,2,4,Akkermansia
E05P2C,0.039453655325626,P,2,5,Akkermansia
E06P2C,0.008600988905971,P,2,6,Akkermansia
E07P2D,0.073418372264885,P,2,7,Akkermansia
E08P2D,0.066893424036281,P,2,8,Akkermansia
E09P2E,0.007173879323716,P,2,9,Akkermansia
E10P2E,0.005824152691039,P,2,10,Akkermansia
F01L2F,0.028085106382979,L,2,11,Akkermansia
F02L2F,0.015762273901809,L,2,12,Akkermansia
F03L2G,0.079648099360181,L,2,13,Akkermansia
F04L2G,0.104418525455474,L,2,14,Akkermansia
F05L2H,0.00763358778626,L,2,15,Akkermansia
F06L2H,0.067113576822315,L,2,16,Akkermansia
F07L2I,0.084176428824991,L,2,17,Akkermansia
