OTU_ID,new.col
denovo41238,Clostridiales_denovo41238
denovo4701,Lactobacillaceae_denovo4701
denovo45929,S24-7_denovo45929
denovo52943,Bacteroidales_denovo52943
denovo5577,Clostridiales_denovo5577
denovo136233,Lactobacillaceae_denovo136233
denovo2846,Bacteroidales_denovo2846
denovo106827,Lactobacillaceae_denovo106827
denovo79490,Lachnospiraceae_denovo79490
denovo128655,Bacteroidales_denovo128655
denovo4187,Clostridiales_denovo4187
denovo15891,Lachnospiraceae_denovo15891
denovo10173,Bacteroidales_denovo10173
denovo46779,Bacteroidales_denovo46779
denovo139763,Lactobacillaceae_denovo139763
denovo146153,Clostridiales_denovo146153
denovo18221,Ruminococcaceae_denovo18221
denovo135866,Clostridiales_denovo135866
denovo125573,Lachnospiraceae_denovo125573
denovo115899,RF39_denovo115899
denovo63815,Clostridiales_denovo63815
denovo21690,[Paraprevotellaceae]_denovo21690
denovo58760,Clostridiales_denovo58760
denovo96765,RF39_denovo96765
denovo92104,Clostridiales_denovo92104
denovo102843,Ruminococcaceae_denovo102843
denovo2281,Lachnospiraceae_denovo2281
denovo19145,Clostridiales_denovo19145
denovo24794,Clostridiales_denovo24794
denovo106718,Clostridiales_denovo106718
denovo44661,S24-7_denovo44661
denovo13487,Clostridiales_denovo13487
denovo16548,Clostridiales_denovo16548
denovo155169,Clostridiales_denovo155169
denovo80874,Ruminococcaceae_denovo80874
denovo57470,Bacteroidaceae_denovo57470
denovo135345,Lachnospiraceae_denovo135345
denovo60687,Clostridiales_denovo60687
denovo145496,Lachnospiraceae_denovo145496
denovo16916,Lachnospiraceae_denovo16916
denovo126515,Clostridiaceae_denovo126515
denovo146537,Lachnospiraceae_denovo146537
denovo151126,Clostridiales_denovo151126
denovo120932,Clostridiales_denovo120932
denovo40343,Ruminococcaceae_denovo40343
denovo68168,Clostridiales_denovo68168
denovo147899,Clostridiales_denovo147899
denovo45881,Lachnospiraceae_denovo45881
denovo46110,Lachnospiraceae_denovo46110
denovo31587,Clostridiales_denovo31587
denovo120556,Clostridiales_denovo120556
denovo100756,Turicibacteraceae_denovo100756
denovo71630,Alcaligenaceae_denovo71630
denovo102587,Clostridiales_denovo102587
