OTU_ID	E02P2A	C04P5B	B07L4I	G01P3A	D05L1H	C03P1B	G08P3D	C08P5D	G06P3C	A03P0B	A06P0C	B08L4I	E01P2A	E10P2E	G07P3D	G09P3E	C07P1D	B04L0G	B05L4H	B02L0F	B09L0J	A07P0D	F09L2J	F08L2I	B05L0H	B03L4G	A05P4C	C07P5D	H08L3I	E04P2B	C01P5A	E03P2B	D03L5G	H10L3J	A03P4B	A09P4E	C05P1C	H06L3H	D09L5J	H02L3F	A04P0B	B10L4J	C10P1E	A10P0E	A06P4C	F03L2G	B09L4J	G03P3B	E06P2C	E08P2D	H07L3I	B08L0I	G04P3B	C02P1A	F05L2H	C08P1D	D02L1F	F02L2F	A09P0E	C09P5E	C05P5C	A08P0D	D01L1F	F04L2G	F07L2I	H05L3H	A01P4A	D07L5I	D04L5G	E07P2D	F06L2H	E05P2C	A10P4E	A02P4A	B03L0G	H03L3G	C03P5B	C01P1A	D05L5H	C10P5E	B04L4G	A07P4D	D01L5F	D06L5H	D07L1I	D06L1H	G02P3A	A05P0C	F01L2F	E09P2E	B07L0I	H04L3G	D02L5F	D09L1J	H09L3J	A08P4D	D10L5J	B01L0F	A02P0A	D10L1J	B01L4F	B02L4F	B06L4H	D08L1I	H01L3F	C09P1E	G10P3E	G05P3C	A01P0A	B10L0J	D04L1G	F10L2J	D08L5I	C02P5A	D03L1G	C06P5C	B06L0H	C06P1C	C04P1B
denovo160	0	0	0	1	0	0	3	5	0	0	1	0	0	0	8	1	0	0	0	0	0	1	0	0	0	0	3	3	0	10	0	0	0	0	0	10	1	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	6	0	1	0	0	0	0	23	6	0	1	0	0	0	2	4	0	3	0	1	2	0	0	1	3	0	1	4	1	1	0	0	0	0	1	0	0	3	0	0	10	1	1	2	0	0	0	0	10	7	2	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0
denovo242	6	13	6	12	23	28	30	27	4	2	13	17	4	23	23	7	23	13	23	2	23	29	18	23	15	6	14	28	7	13	34	14	3	8	9	15	12	12	9	6	5	12	19	35	2	20	23	14	7	10	4	3	17	4	13	17	7	22	6	19	55	16	37	19	6	9	30	10	21	32	23	11	17	18	1	9	37	24	23	6	25	42	7	7	6	20	26	4	20	11	18	16	71	4	14	22	8	5	17	10	29	30	9	20	19	10	6	9	6	7	22	17	29	20	34	13	4	5	4
denovo422	1	4	5	3	3	117	2	9	1	8	1	4	4	2	1	92	21	2	0	97	50	25	16	11	0	2	22	2	0	4	0	1	0	5	1	15	6	4	1	2	15	1	6	14	1	2	3	3	0	0	1	9	0	1	0	2	6	4	2	21	3	5	37	3	2	3	6	12	3	7	5	6	3	0	1	3	15	17	5	6	4	4	0	2	4	6	5	5	4	5	6	6	1	26	6	2	0	0	1	14	1	0	2	51	18	0	5	2	48	101	11	18	3	2	62	8	5	4	7
denovo915	0	1	0	0	0	2	0	0	3	0	1	0	1	0	3	2	0	0	3	0	0	2	1	3	0	0	1	1	0	0	2	4	1	2	2	0	0	2	1	0	0	1	1	1	2	3	0	2	4	0	0	0	2	1	0	1	2	0	0	1	0	0	0	0	0	0	0	2	2	1	1	1	1	0	1	3	0	2	0	1	1	0	0	0	1	3	1	0	1	2	0	3	1	1	1	1	3	0	0	0	2	0	1	6	0	2	0	0	1	2	0	0	0	6	1	1	1	1	1
denovo922	0	0	2	5	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	8	0	1	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	2	1	0	0	1	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	10	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0
denovo961	0	0	3	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	4	1	0	0	1	0	0	0	1	0	2	0	4	0	0	1	0	0	2	0	0	2	0	0	3	1	1	0	1	0	1	2	0	0	1	0	1	1	0	2	0	2	0	0	0	0	1	0	0	1	0	0	2	2	1	1	0	0	0	1	0	2	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	3	0	0	1	2	0	1	0	0	2	3	0	0	0	0	1
denovo1146	142	77	469	397	294	162	133	502	280	119	15	139	380	593	299	212	190	339	655	99	67	322	368	281	218	69	137	381	62	198	1724	246	61	56	105	64	86	113	199	25	247	715	148	913	109	91	367	153	176	226	1439	25	758	64	210	89	29	123	304	1088	322	350	454	458	351	351	655	1479	174	157	846	364	839	152	74	31	121	145	246	2072	317	284	127	322	84	409	72	48	181	379	61	66	181	648	301	182	213	189	103	287	100	315	168	430	73	328	121	457	300	245	368	411	523	182	762	87	86	119	612
denovo1453	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	2
denovo1541	3	2	2	1	1	1	0	1	1	1	0	1	2	0	0	3	1	0	4	1	2	7	8	0	0	6	0	0	2	3	4	1	0	0	0	8	6	1	0	2	3	6	1	0	0	3	3	1	0	0	3	2	4	1	3	1	0	4	4	4	4	2	23	1	2	0	0	3	2	0	0	1	0	0	0	0	2	3	0	2	4	0	1	0	1	1	3	0	4	3	0	2	3	3	4	0	0	1	0	8	2	1	2	2	3	1	1	1	4	0	6	1	2	0	4	0	0	3	0
denovo1554	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	3	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	2	1	0	0	2	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	3	1	0	1	3	1
