OTU_ID	Ruminococcaceae_denovo10000	Clostridiales_denovo100731	Clostridiales_denovo137602	Ruminococcaceae_denovo137967	RF39_denovo147868	Clostridiales_denovo152861	Clostridiales_denovo153245	Clostridiales_denovo167428	Clostridiales_denovo167887	Lachnospiraceae_denovo174953	Clostridiales_denovo17716	Bacteroidaceae_denovo177937	Ruminococcaceae_denovo179087	Clostridiales_denovo181864	Rikenellaceae_denovo182465	Clostridiales_denovo18922	Lactobacillaceae_denovo205876	Erysipelotrichaceae_denovo211707	Ruminococcaceae_denovo217968	Lachnospiraceae_denovo227121	RF39_denovo228419	Clostridiales_denovo243394	Erysipelotrichaceae_denovo253134	Desulfovibrionaceae_denovo260927	S24-7_denovo274868	Lachnospiraceae_denovo276673	Lachnospiraceae_denovo277613	Clostridiales_denovo280839	Clostridiales_denovo289427	Clostridiales_denovo298519	Ruminococcaceae_denovo303151	Clostridiales_denovo309433	Clostridiales_denovo321304	Clostridiales_denovo333253	Lachnospiraceae_denovo337607	Erysipelotrichaceae_denovo349383	Clostridiales_denovo355358	Clostridiales_denovo376509	Lachnospiraceae_denovo383875	Lachnospiraceae_denovo386274	Lactobacillaceae_denovo392914	S24-7_denovo421967	Lachnospiraceae_denovo431968	Lactobacillaceae_denovo448537	Lactobacillaceae_denovo470643	Lachnospiraceae_denovo470754	Clostridiales_denovo484653	Lactobacillaceae_denovo489518	RF39_denovo494541	RF39_denovo556210	Bifidobacteriaceae_denovo55677	Clostridiales_denovo65513	Enterobacteriaceae_denovo72427	Deferribacteraceae_denovo76908	Lachnospiraceae_denovo78453	Lactobacillaceae_denovo78833	Ruminococcaceae_denovo82126	Treat	Time
G01P3A	0	1	0	0	1	1	0	0	1	0	2	2	7	1	9	5	8	1	20	8	0	1	4	6	0	0	0	0	0	7	1	27	10	0	0	4	0	3	0	24	0	3	0	0	0	22	2	0	1	91	4	2	1	1197	8	311	1	P	3
G02P3A	1	9	0	1	0	11	0	1	1	5	0	4	125	0	4	0	7	1	1	25	1	0	5	1	0	5	6	0	4	175	3	123	7	0	0	71	0	3	1	91	0	0	6	0	1	81	5	0	63	146	92	1	1	4019	0	264	4	P	3
G03P3B	1	12	0	10	0	0	0	0	0	1	0	2	1	0	3	1	111	3	3	3	1	0	0	0	1	2	4	0	0	6	21	29	56	0	0	140	0	0	0	4	8	1	23	9	5	0	5	7	2	10	1	1	2	185	0	4109	0	P	3
G04P3B	3	60	1	32	0	0	0	1	45	3	0	1	2	1	55	0	69	0	13	3	0	0	4	3	0	1	1	0	34	2	18	1765	125	5	1	41	0	0	0	3	4	6	3	8	2	9	8	3	179	12	1	0	0	84	0	2627	7	P	3
G05P3C	1	9	0	0	0	8	0	2	18	1	0	226	6	2	0	0	2	13	1	0	0	0	0	3	1	3	1	0	0	3	12	13	15	0	5	3	1	0	3	14	0	1	2	0	0	9	8	0	7	3	262	0	8	249	0	93	1	P	3
G06P3C	0	2	0	0	0	0	0	0	2	1	0	4	10	1	27	1	0	2	1	0	0	0	4	1	0	0	1	0	0	3	0	17	4	0	0	4	0	0	1	0	0	7	2	0	0	2	0	1	1	3	73	1	3	43	0	42	0	P	3
G07P3D	1	2	2	4	2	2	1	3	0	2	0	2	36	2	4	0	291	0	2	2	0	0	23	3	1	0	2	1	18	1	22	908	48	4	2	29	2	0	1	7	31	0	1	20	14	1	7	20	65	25	658	0	6	426	0	13484	2	P	3
G08P3D	1	8	1	31	2	71	0	0	1	1	1	2	12	1	22	0	47	1	3	1	0	0	4	1	0	1	1	0	7	3	4	274	11	0	1	48	0	27	0	96	7	2	0	8	1	2	6	1	2	28	106	1	1	3038	17	1723	3	P	3
G09P3E	0	69	0	0	0	2	0	0	0	2	0	3	1	0	67	1	31	8	5	8	0	1	0	7	0	0	1	0	0	2	0	47	10	0	40	1	0	1	1	0	1	0	3	1	0	121	3	1	3	345	1	1	2	2236	0	928	2	P	3
G10P3E	0	69	0	2	0	0	0	0	0	0	0	213	3	5	70	1	11	0	9	26	2	0	0	7	0	2	8	0	4	1	0	19	14	0	1	0	7	0	13	1	0	0	2	0	2	1	50	0	86	1	0	1	1	2402	1	266	2	P	3
