OTU_ID,new.col
denovo376509,Clostridiales_denovo376509
denovo147868,RF39_denovo147868
denovo228419,RF39_denovo228419
denovo217968,Ruminococcaceae_denovo217968
denovo100731,Clostridiales_denovo100731
denovo179087,Ruminococcaceae_denovo179087
denovo337607,Lachnospiraceae_denovo337607
denovo167887,Clostridiales_denovo167887
denovo484653,Clostridiales_denovo484653
denovo174953,Lachnospiraceae_denovo174953
denovo152861,Clostridiales_denovo152861
denovo280839,Clostridiales_denovo280839
denovo274868,S24-7_denovo274868
denovo431968,Lachnospiraceae_denovo431968
denovo167428,Clostridiales_denovo167428
denovo55677,Bifidobacteriaceae_denovo55677
denovo177937,Bacteroidaceae_denovo177937
denovo556210,RF39_denovo556210
denovo349383,Erysipelotrichaceae_denovo349383
denovo182465,Rikenellaceae_denovo182465
denovo303151,Ruminococcaceae_denovo303151
denovo227121,Lachnospiraceae_denovo227121
denovo383875,Lachnospiraceae_denovo383875
denovo321304,Clostridiales_denovo321304
denovo298519,Clostridiales_denovo298519
denovo76908,Deferribacteraceae_denovo76908
denovo309433,Clostridiales_denovo309433
denovo386274,Lachnospiraceae_denovo386274
denovo17716,Clostridiales_denovo17716
denovo489518,Lactobacillaceae_denovo489518
denovo78833,Lactobacillaceae_denovo78833
denovo253134,Erysipelotrichaceae_denovo253134
denovo392914,Lactobacillaceae_denovo392914
denovo470754,Lachnospiraceae_denovo470754
denovo470643,Lactobacillaceae_denovo470643
denovo448537,Lactobacillaceae_denovo448537
denovo205876,Lactobacillaceae_denovo205876
denovo276673,Lachnospiraceae_denovo276673
denovo72427,Enterobacteriaceae_denovo72427
denovo243394,Clostridiales_denovo243394
denovo78453,Lachnospiraceae_denovo78453
denovo260927,Desulfovibrionaceae_denovo260927
denovo10000,Ruminococcaceae_denovo10000
denovo421967,S24-7_denovo421967
denovo494541,RF39_denovo494541
denovo153245,Clostridiales_denovo153245
denovo82126,Ruminococcaceae_denovo82126
denovo277613,Lachnospiraceae_denovo277613
denovo289427,Clostridiales_denovo289427
denovo18922,Clostridiales_denovo18922
denovo181864,Clostridiales_denovo181864
denovo137967,Ruminococcaceae_denovo137967
denovo65513,Clostridiales_denovo65513
denovo333253,Clostridiales_denovo333253
denovo211707,Erysipelotrichaceae_denovo211707
denovo355358,Clostridiales_denovo355358
denovo137602,Clostridiales_denovo137602
