OTU_ID	573.T2	584.T1	571.T5	573.T5	578.T1	581.T1	585.T1	586.T3	582.T5	574.T5	584.T5	576.T0	573.T0	582.T3	577.T1	571.T4	585.T3	578.T4	580.T0	578.T5	578.T2	583.T0	583.T1	574.T2	572.T1	582.T4	573.T1	581.T5	575.T1	570.T5	584.T3	577.T5	576.T3	580.T3	571.T1	583.T2	576.T5	578.T0	573.T3	580.T1	570.T1	581.T4	575.T3	585.T0	578.T3	572.T3	586.T5	580.T2	583.T3	575.T5	575.T4	582.T1	575.T0	583.T5	577.T0	574.T4	572.T0	583.T4	572.T4	582.T0	574.T3	585.T5	581.T2	571.T3	576.T2	585.T4	581.T0	571.T0	575.T2	584.T4	570.T3	582.T2	576.T1	574.T0	573.T4	570.T2	584.T0	572.T5	577.T3	580.T5	581.T3	586.T4	585.T2	570.T0	586.T0	571.T2	577.T4	572.T2	576.T4	586.T1	584.T2	577.T2	574.T1	570.T4	586.T2
denovo110	4	2	7	3	5	1	2	1	1	9	8	2	19	7	5	11	0	4	2	1	9	0	6	18	18	3	59	12	5	16	10	0	4	9	7	5	3	18	9	23	6	23	0	4	9	1	4	9	0	13	1	3	12	10	2	1	19	11	12	13	14	4	1	4	1	14	17	3	4	9	13	5	3	6	4	4	2	4	7	9	1	4	3	3	2	1	2	3	1	0	0	0	0	0	0
denovo222	0	28	24	1	13	193	200	12	441	22	0	0	4	0	1	282	28	1	2	1	13	695	4	14	0	1	0	0	260	23	0	3	1	0	1	3	1	1	1	3	0	0	8	0	136	0	22	0	46	63	8	2	1	15	4	11	1	10	1	2	2	1	1	1	2	29	1	1	51	0	74	0	0	1	0	0	6	4	0	2	0	4	33	3	29	0	0	0	3	2	11	1	1	1	5
denovo394	0	1	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	4	0	0	2	0	0	1	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
denovo412	0	0	1	3	2	0	0	0	3	5	3	0	0	0	0	3	2	0	0	1	1	2	0	2	1	1	2	8	1	5	4	0	1	1	0	1	2	3	1	1	0	2	1	0	1	1	1	1	1	5	0	1	0	5	1	0	0	8	0	3	1	0	0	0	0	2	1	0	0	0	2	0	1	0	0	0	0	3	0	5	2	1	0	0	0	1	0	2	0	0	0	0	2	0	0
denovo540	1	0	2	0	1	0	0	0	3	2	0	1	0	4	0	1	1	0	2	2	2	1	0	1	0	3	0	3	3	2	0	0	0	0	3	0	1	3	0	0	0	0	1	0	2	0	3	0	1	3	1	1	0	0	0	2	1	0	0	0	0	1	0	1	0	5	0	0	3	0	1	2	0	0	1	0	0	6	0	0	0	2	1	0	0	0	0	0	0	4	2	0	1	0	0
denovo671	65	114	142	54	89	28	60	12	57	191	127	54	36	88	85	122	93	101	10	168	60	114	111	140	124	88	143	119	88	108	151	85	81	141	39	169	86	91	58	82	85	115	6	25	41	26	82	50	63	158	60	233	54	102	146	49	19	96	34	94	122	41	19	67	151	124	87	19	55	40	138	36	124	97	54	100	51	199	106	167	37	57	15	87	66	19	37	64	67	41	48	46	60	0	30
denovo912	0	2	18	1	2	1	1	0	0	1	0	1	2	0	2	5	4	19	0	20	11	0	0	0	1	1	0	0	1	24	0	2	0	0	2	0	0	4	4	1	19	0	2	0	30	0	1	0	7	0	1	1	1	0	0	1	1	0	0	2	0	0	3	6	0	1	0	4	2	0	26	2	3	0	3	3	2	0	0	0	1	1	3	0	0	8	2	1	0	2	4	2	1	0	1
denovo974	0	3	0	2	1	0	0	0	1	0	1	1	2	0	2	0	0	0	1	0	1	1	1	2	0	0	3	2	1	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	2	3	1	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0
denovo1072	9	22	101	8	17	12	12	19	26	64	4	166	6	13	7	111	26	37	7	139	36	4	75	7	7	38	17	17	10	20	1	7	13	6	34	1	23	22	25	1	73	29	15	33	104	15	13	36	26	82	11	23	205	5	4	56	18	61	34	94	14	29	14	42	5	49	461	62	25	1	17	16	81	16	4	6	15	38	3	64	10	50	14	13	4	5	6	24	18	183	15	6	36	0	0
denovo1146	0	8	2	1	13	0	0	0	4	5	1	5	3	7	0	2	5	3	1	2	1	7	4	11	2	1	0	3	4	1	2	0	3	8	3	1	2	6	4	4	5	6	1	2	2	1	5	5	1	7	1	7	8	3	3	0	2	4	4	10	10	1	0	8	2	2	2	1	2	0	17	0	7	1	2	1	2	0	4	4	4	2	1	2	3	0	4	0	3	1	0	0	3	0	2
denovo1289	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	2	0	1	2	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	2	1	2	0	1	1	0	3	0	7	2	0	1	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0
denovo1300	0	1	2	1	1	0	0	0	1	2	1	0	0	0	1	2	0	0	0	1	2	1	0	2	0	0	3	0	1	1	3	1	0	1	0	0	1	1	0	2	0	0	0	0	0	0	3	0	0	1	0	2	0	1	0	0	0	3	1	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
denovo1335	1	1	3	4	0	1	0	2	0	5	0	0	1	2	2	2	1	1	0	0	2	2	0	5	1	0	1	3	1	0	2	0	0	0	1	1	0	1	2	0	0	1	0	0	0	0	0	1	1	1	1	2	0	0	2	1	0	1	0	2	2	0	0	0	1	9	0	0	0	0	5	0	0	1	0	1	1	0	1	1	1	0	0	0	2	0	0	0	0	0	1	0	1	0	1
denovo1498	0	1	0	2	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	3	1	1	0	0	0	2	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1	1	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0
denovo1558	1	0	1	2	3	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	1	4	0	2	1	1	0	3	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0
denovo1640	0	4	2	4	0	0	1	0	1	6	0	0	2	2	0	1	1	1	0	1	3	2	2	3	0	1	0	3	2	0	0	1	0	3	1	0	3	2	0	1	2	0	0	0	0	1	2	2	0	0	1	1	2	1	0	0	0	2	4	0	1	0	0	4	0	0	0	1	0	0	4	0	0	2	0	1	3	0	3	3	0	3	0	2	3	0	1	1	0	0	1	0	2	0	0
denovo1782	0	2	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	6	1	0	0	0	1	2	0	0	2	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	3	3	3	0	0	0	0	1	1	0	0	2	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
denovo2000	11	35	16	39	9	5	16	6	18	37	31	16	14	17	11	24	4	17	5	21	10	7	26	6	15	8	22	21	21	22	27	46	16	22	11	11	54	6	13	16	23	10	2	4	11	11	8	3	3	22	5	23	19	23	10	6	3	14	6	9	23	9	0	12	16	8	12	1	13	2	15	3	13	19	12	3	25	17	33	41	6	21	1	9	15	8	4	14	32	3	7	4	16	0	8
denovo2044	0	0	3	2	0	0	0	0	7	2	0	0	0	0	0	2	1	3	1	1	1	0	0	0	0	7	0	0	1	5	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	3	0	1	0	0	1	0	1	0	7	4	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2	1	0	0	0	0	0	1	2	0	0	0	0
denovo2057	3	0	1	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	1	0	2	0	1	1	0	0	0	2	1	0	0	0	1	0	2	2	0	0	0	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	3	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
denovo2128	13	5	30	13	1	4	3	12	2	14	5	41	18	10	26	24	4	11	13	9	35	4	21	3	52	27	2	2	13	19	1	27	35	4	38	3	9	16	17	0	10	1	35	37	38	7	4	20	20	12	9	48	0	3	34	33	28	28	13	19	3	7	15	11	4	11	20	15	10	1	30	16	4	3	5	3	3	28	3	10	6	34	0	2	5	11	53	2	39	37	20	1	63	0	3
denovo2400	1	0	0	1	0	0	0	0	1	1	0	1	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	2	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo2483	0	1	1	1	1	0	0	0	0	0	0	2	2	7	0	0	0	1	0	0	0	0	0	7	0	0	2	1	1	1	6	0	0	1	0	0	0	11	3	0	0	2	0	0	1	0	0	1	1	0	0	0	3	0	0	0	2	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	1	8	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1
denovo2652	1	1	1	1	1	0	2	0	0	0	7	0	0	0	0	1	0	1	0	0	0	0	2	6	8	0	5	2	0	0	1	1	2	6	1	0	0	0	0	5	0	7	0	0	0	1	2	3	0	2	0	3	0	0	0	0	0	0	1	0	1	2	0	3	0	1	0	0	0	2	1	0	3	0	0	0	1	2	0	3	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
denovo2693	0	1	1	1	1	1	4	0	1	0	0	1	0	0	3	0	0	2	1	2	4	1	0	4	1	0	0	1	1	1	6	0	1	0	1	1	1	1	0	1	0	2	0	0	1	0	0	2	2	3	0	0	5	0	0	0	0	1	1	0	1	1	1	0	4	3	1	0	0	0	3	0	3	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
denovo2834	0	1	0	6	2	0	1	0	1	2	4	0	0	1	1	1	0	0	0	3	0	1	2	1	2	0	2	3	0	1	1	1	0	4	0	0	2	1	1	3	0	0	0	0	1	1	2	2	0	2	0	0	1	1	0	0	1	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	4	0	0	0	0	0	1	0	1	2	0	1	0	1	0	0
denovo2910	3	0	0	0	0	0	0	0	0	0	0	3	0	0	2	3	0	2	0	0	1	1	0	0	0	0	4	3	3	0	0	6	1	1	1	0	3	2	1	2	0	4	1	1	0	0	0	3	1	0	0	1	0	0	0	0	1	0	0	3	0	5	4	4	0	0	0	0	1	1	0	2	0	0	1	0	0	11	0	1	2	0	0	0	3	0	2	0	3	0	0	3	1	0	0
