OTU_ID	Lachnospiraceae_denovo103326	Ruminococcaceae_denovo104808	[Odoribacteraceae]_denovo105447	Lachnospiraceae_denovo105779	Clostridiales_denovo106781	Lachnospiraceae_denovo107847	Lachnospiraceae_denovo107864	Lachnospiraceae_denovo114016	Bacteroidales_denovo116759	Clostridiales_denovo122663	Ruminococcaceae_denovo126386	Clostridiales_denovo137537	Clostridiales_denovo137558	Lachnospiraceae_denovo143463	Clostridiales_denovo146209	Lactobacillaceae_denovo146686	Ruminococcaceae_denovo158036	Lactobacillaceae_denovo166520	Clostridiales_denovo17535	Lachnospiraceae_denovo179077	Lachnospiraceae_denovo18123	Lachnospiraceae_denovo182943	Erysipelotrichaceae_denovo183158	S24-7_denovo191090	Lachnospiraceae_denovo194539	Clostridiales_denovo195879	Clostridiales_denovo200986	Erysipelotrichaceae_denovo20841	Erysipelotrichaceae_denovo212807	Turicibacteraceae_denovo21549	Lachnospiraceae_denovo217363	Lachnospiraceae_denovo219613	RF39_denovo222	Clostridiales_denovo230276	Verrucomicrobiaceae_denovo235763	Clostridiales_denovo24911	Clostridiales_denovo25233	Clostridiales_denovo255839	Lachnospiraceae_denovo261738	Rikenellaceae_denovo265975	Clostridiales_denovo272497	Lachnospiraceae_denovo274020	Lachnospiraceae_denovo282169	Clostridiales_denovo289863	Lachnospiraceae_denovo296598	Lachnospiraceae_denovo304282	Clostridiales_denovo3433	Clostridiales_denovo37041	Clostridiales_denovo47867	Lachnospiraceae_denovo48918	Lachnospiraceae_denovo56632	Clostridiales_denovo63866	Clostridiales_denovo65277	Clostridiales_denovo71608	Ruminococcaceae_denovo7221	Clostridiales_denovo78281	Ruminococcaceae_denovo94378	Clostridiales_denovo96436	Category	Week
570.T4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	0	0	0	0	Placebo	4
571.T4	1	0	102	302	3	2	40	406	0	13	2	3	2	119	1	29	1	8	0	7	125	1	2	177	1	1	2	16	0	0	32	9	282	17	8	0	51	3	13	23	26	1	9	3	0	186	1	0	1	3	20	48	0	0	0	3	0	0	Placebo	4
572.T4	0	2	331	97	0	1	0	2	3	3	1	1	0	43	1	42	7	13	0	0	1	4	1	40	3	0	32	4	0	0	595	1	1	30	14	0	0	0	50	1	0	0	18	11	1	18	0	0	1	134	79	1	0	0	1	0	6	3	Placebo	4
573.T4	16	5	66	10	1	0	0	1	4	81	16	0	1	2	0	37	8	22	0	7	0	0	0	28	0	2	6	4	1	0	230	1	0	13	9	0	0	0	53	0	0	0	53	5	0	3	0	2	1	199	73	0	0	0	0	0	23	0	Placebo	4
574.T4	42	102	125	50	0	1	96	138	1	14	16	179	1	82	1	31	2	14	1	7	0	0	1	10	9	213	120	0	1	1	226	1	11	1	0	0	16	0	4	16	0	24	68	0	2	123	0	2	1	3	99	13	10	0	0	0	2	0	Placebo	4
575.T4	16	120	4	5	1	1	45	2	0	30	10	2	0	4	1	12	4	13	0	2	1	0	0	10	0	48	218	0	1	0	41	0	8	0	1	0	0	2	2	46	16	4	67	0	1	90	0	1	2	3	37	158	1	0	1	1	2	0	Placebo	4
576.T4	1	1	0	294	0	0	0	0	3	3	0	2	1	0	1	7	2	2	1	4	0	7	3	290	0	0	2	3	24	0	0	3	3	0	0	0	35	1	1	209	1	248	3	1	0	90	3	1	5	192	0	2	0	0	1	2	3	7	Placebo	4
577.T4	0	1	4	1801	1	3	1	1	2	0	0	1	0	1	0	12	0	3	0	1	0	12	3	37	1	0	26	6	0	0	1	1	0	0	0	0	2	0	4	5	0	354	1	0	0	21	1	3	0	6	0	0	0	0	0	2	55	2	Placebo	4
578.T4	8	0	1	56	1	1	132	8	0	6	1	1	53	12	16	88	0	33	9	6	0	0	1	272	1	36	117	0	0	1	6	0	1	0	0	0	0	5	150	5	0	1	115	0	8	6	0	0	1	126	0	779	2	6	101	98	3	1	Letrozole	4
581.T4	0	2	40	22	7	2	0	169	1	7	1	1	1	1	0	439	0	377	0	60	0	0	0	247	0	12	14	0	15	0	1	0	0	1	35	0	1	2	3	159	1	3	2	1	0	1	0	0	14	1	0	1	44	0	0	51	0	2	Letrozole	4
582.T4	0	183	8	61	4	476	0	529	0	14	8	19	20	28	16	60	0	57	1	105	22	0	0	5	9	8	94	0	1	2	40	672	1	0	13	0	1	1	176	3	2	2	40	0	36	2	1	69	4	6	0	268	4	0	0	143	0	1	Letrozole	4
583.T4	0	447	41	12	6	9	0	30	2	43	91	40	89	23	14	62	0	8	0	8	0	0	0	24	4	5	82	0	0	1	7	63	10	1	2	0	3	329	670	3	0	1	5	2	6	7	0	1	0	68	0	143	1	0	68	13	0	0	Letrozole	4
584.T4	0	1	5	3	7	0	0	9	2	1	0	0	1	0	0	50	0	23	0	0	0	0	3	104	0	3	0	1	4	0	1	0	0	0	5	6	63	9	1	172	0	2	9	1	0	1	0	1	23	3	0	2	0	0	0	0	0	9	Letrozole	4
585.T4	0	26	7	10	2	0	4	458	1	12	10	56	0	4	15	44	1	16	0	3	4	0	1	66	0	10	69	1	0	0	18	189	29	4	94	3	1	148	34	46	3	0	33	7	16	11	152	60	3	4	0	116	1	0	21	144	1	2	Letrozole	4
586.T4	0	119	0	13	3	2	0	77	1	2	62	62	0	67	41	64	0	49	0	3	1	1	0	11	0	67	271	0	3	13	14	2	4	0	116	0	2	313	559	3	0	0	74	0	0	14	255	0	0	361	0	451	0	0	0	9	9	1	Letrozole	4
